month,total_price,previous_month,gvm
2016-12-01 00:00:00.000000 UTC,10.9,49507.66,-99.98
2017-02-01 00:00:00.000000 UTC,247303.02,120312.87,105.55
2017-03-01 00:00:00.000000 UTC,374344.3,247303.02,51.37
2017-04-01 00:00:00.000000 UTC,359927.23,374344.3,-3.85
2017-05-01 00:00:00.000000 UTC,506071.14,359927.23,40.6
2017-06-01 00:00:00.000000 UTC,433038.6,506071.14,-14.43
2017-07-01 00:00:00.000000 UTC,498031.48,433038.6,15.01
2017-08-01 00:00:00.000000 UTC,573971.68,498031.48,15.25
2017-09-01 00:00:00.000000 UTC,624401.69,573971.68,8.79
2017-10-01 00:00:00.000000 UTC,664219.43,624401.69,6.38
2017-11-01 00:00:00.000000 UTC,1010271.37,664219.43,52.1
2017-12-01 00:00:00.000000 UTC,743914.17,1010271.37,-26.36
2018-01-01 00:00:00.000000 UTC,950030.36,743914.17,27.71
2018-02-01 00:00:00.000000 UTC,844178.71,950030.36,-11.14
2018-03-01 00:00:00.000000 UTC,983213.44,844178.71,16.47
2018-04-01 00:00:00.000000 UTC,996647.75,983213.44,1.37
2018-05-01 00:00:00.000000 UTC,996517.68,996647.75,-0.01
2018-06-01 00:00:00.000000 UTC,865124.31,996517.68,-13.19
2018-07-01 00:00:00.000000 UTC,895507.22,865124.31,3.51
2018-08-01 00:00:00.000000 UTC,854686.33,895507.22,-4.56
2018-09-01 00:00:00.000000 UTC,145.0,854686.33,-99.98
